satellite_id,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,operator,orbit_type,eccentricity_risk
527,ASTRA 1P (SES-24),2024-115A,2026-06-19T20:12:38.611584,1.00275004,6.512e-05,0.058,357.1167,25.1211,208.193,0,U,60086,999,722,0,1.15e-06,0,GEO,GEO,0.06512
528,GOES 19,2024-119A,2026-06-20T08:54:38.574720,1.00270517,4.07e-05,0.0015,112.2371,49.5773,165.2311,0,U,60133,999,699,0,-2.53e-06,0,GEO,GEO,0.0407
529,ZHONGXING-3A,2024-122A,2026-06-20T14:09:48.116736,1.00272426,0.0001215,0.0402,113.7747,9.0664,99.9844,0,U,60179,999,734,0,-3.18e-06,0,GEO,GEO,0.1215
530,TURKSAT 6A,2024-127A,2026-06-20T04:28:25.279680,1.00271169,0.00017063,0.0134,188.2343,301.1136,248.1457,0,U,60233,999,704,0,0.0,0,GEO,GEO,0.17063
531,HULIANWAN GAOGUI-02 (HG-02),2024-135A,2026-06-20T13:21:12.633408,1.00269765,0.0007383,0.0432,354.2481,13.9786,253.9739,0,U,60327,999,753,0,-1.78e-06,0,GEO,GEO,0.7383
532,ZHONGXING-4A,2024-151A,2026-06-20T09:58:05.267136,1.00272227,1.52e-05,1.3048,270.7935,182.6537,82.9304,0,U,60606,999,678,0,-3.67e-06,0,GEO,GEO,0.0152
533,HULIANWAN GAOGUI-03 (HG-03),2024-181A,2026-06-19T21:03:53.439840,1.00270259,0.00011383,0.0459,358.3743,95.3158,53.2376,0,U,61503,999,685,0,-2.46e-06,0,GEO,GEO,0.11383
534,DSN-3 (KIRAMEKI-3),2024-198A,2026-06-20T11:03:21.822336,1.00270761,6.09e-05,0.0267,281.4287,189.8925,107.2456,0,U,61733,999,595,0,-2.55e-06,0,GEO,GEO,0.0609
535,KOREASAT 6A,2024-206A,2026-06-19T18:33:41.092992,1.00269362,8.181e-05,0.0257,97.085,327.3804,237.9476,0,U,61910,999,586,0,-3.67e-06,0,GEO,GEO,0.08181
536,OPTUS-X (ADS-01),2024-212A,2026-06-20T08:26:27.344832,1.00271869,0.0001878,0.0108,311.5369,178.3382,61.6776,0,U,62006,999,579,0,-1.48e-06,0,GEO,GEO,0.1878
537,GSAT-N2 (GSAT-20),2024-214A,2026-06-20T09:43:44.144256,1.00270647,0.0001953,0.0463,108.9199,329.6343,43.9353,0,U,62028,999,593,0,-2.3e-07,0,GEO,GEO,0.1953
538,SXM-9,2024-234A,2026-06-19T19:18:44.275104,1.00271752,0.00050446,0.0121,345.5677,330.373,156.5984,0,U,62259,999,560,0,-2.11e-06,0,GEO,GEO,0.50446
539,TJS-12,2024-246A,2026-06-21T12:35:40.618752,1.00268929,0.0002083,0.6599,299.619,86.9315,218.5932,0,U,62374,999,560,0,-2.33e-06,0,GEO,GEO,0.2082999999999999
540,NUVIEW ALPHA,2024-252B,2026-06-20T09:00:44.673984,1.00268481,0.0001109,0.0544,34.8592,31.812,254.0224,0,U,62455,999,385,0,-2.2e-06,0,GEO,GEO,0.1109
541,AGILA,2024-252C,2026-06-20T11:12:52.782048,1.00271197,0.0001257,0.0639,122.9722,336.9984,129.0807,0,U,62456,999,519,0,-1.86e-06,0,GEO,GEO,0.1257
542,NUVIEW BRAVO,2024-252D,2026-06-20T09:00:44.673984,1.00271802,0.0002084,0.0743,146.5525,337.9215,196.1742,0,U,62457,999,382,0,-2.19e-06,0,GEO,GEO,0.2084
543,THURAYA-4,2025-001A,2026-06-19T21:26:38.596128,1.0027273,1.29e-05,0.026,67.3649,235.017,331.6905,0,U,62483,999,420,0,1.34e-06,0,GEO,GEO,0.0129
544,SHIJIAN-25 (SJ-25),2025-002A,2026-06-20T10:46:44.814720,1.00261664,0.0052012,5.1219,61.1498,173.403,322.9628,0,U,62485,999,539,0,-3.57e-06,0,GEO,NON_GEO,5.201199999999999
545,TJS-14,2025-017A,2026-06-21T12:52:15.057696,1.00276757,8.3e-05,0.7716,295.9577,276.0073,269.286,0,U,62804,999,531,0,1.15e-06,0,GEO,GEO,0.083
546,SPAINSAT NG I,2025-021A,2026-06-20T00:43:51.585888,1.00271397,2.234e-05,0.0178,1.7789,177.4851,128.9379,0,U,62852,999,401,0,1.46e-06,0,GEO,GEO,0.02234
547,QZS-6 (MICHIBIKI-6),2025-023A,2026-06-20T09:50:21.007968,1.0027006,0.0001896,0.0614,73.8005,19.1523,53.7613,0,U,62876,999,498,0,-2.37e-06,0,GEO,GEO,0.1896
548,ZHONGXING-10R,2025-036A,2026-06-20T09:55:57.971424,1.002705,0.0003589,0.0045,296.2419,202.1815,29.7251,0,U,63075,999,499,0,-3.56e-06,0,GEO,GEO,0.3589
549,TJS-15,2025-045A,2026-06-20T08:08:43.778112,1.00270564,0.0004649,0.2944,85.4731,299.0125,100.6355,0,U,63157,999,479,0,-2.69e-06,0,GEO,GEO,0.4649
550,TIANLIAN 2-04,2025-062A,2026-06-21T09:44:29.560416,1.00272079,0.0031483,4.3626,274.3783,10.3849,211.0218,0,U,63361,999,464,0,-1.36e-06,0,GEO,GEO,3.1483000000000003
551,TJS-16,2025-064A,2026-06-20T11:05:19.253760,1.00271697,0.0003312,1.1077,81.4457,292.6528,221.5121,0,U,63397,999,442,0,-1.1e-06,0,GEO,GEO,0.3312
